id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_country_name,species_guess,scientific_name,common_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
126909039,4378ec37-97c4-4c91-bd8d-91bba682a7bb,2022-07-18 11:53:08+08:00,2022-07-18,2022-07-18 03:53:08 +0000,Taipei,3559613,naturalist44241,布魯伯德,needs_id,,https://www.inaturalist.org/observations/126909039,https://static.inaturalist.org/photos/215387704/medium.jpg,,"","",1,0,false,3,"太魯閣國家公園, 秀林鄉, TW",24.1585221667,121.6241,4,,,,4,,,false,,,,Hualien,Taiwan,花葉蛛屬,Synema,花葉蛛屬,153736,Thomisidae,Synema,
130739855,60853ab2-7e1a-4b94-89f4-d1b0eb3a1441,2022-08-14 13:38:31+08:00,2022-08-14,2022-08-14 05:38:31 +0000,Taipei,6023200,liuwenling,,research,CC-BY-NC,https://www.inaturalist.org/observations/130739855,https://inaturalist-open-data.s3.amazonaws.com/photos/222393124/medium.jpg,,"","",1,0,false,3,"蘇花公路, 秀林鄉, TW",24.1572359325,121.6221917252,8,,,,8,,,false,,,,Hualien,Taiwan,古氏棘蛛,Gasteracantha kuhli,古氏棘蛛,847983,Araneidae,Gasteracantha,Gasteracantha kuhli
130743015,2d87f514-b028-4531-ad31-0590da8ea65d,2022-08-14 14:09:18,2022-08-14,2022-08-14 06:09:18 +0000,Taipei,6023554,yomoann,,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/130743015,https://inaturalist-open-data.s3.amazonaws.com/photos/222394154/medium.jpeg,,"",,1,0,false,2,"972台灣花蓮縣秀林鄉No. 291, Fushi Village",24.15737471,121.62190948,9,,,,9,,,false,,,,Hualien,Taiwan,蜘蛛目,Araneae,蜘蛛目,47118,,,
130899088,3a863270-2cea-41fe-b976-9edd6c7f85d8,2022-08-15 13:22:30+08:00,2022-08-15,2022-08-15 05:22:30 +0000,Taipei,6026643,tur800,,research,CC-BY-NC,https://www.inaturalist.org/observations/130899088,https://inaturalist-open-data.s3.amazonaws.com/photos/222679627/medium.jpg,,"","",2,0,false,3,"蘇花公路, 秀林鄉, TW",24.1573416667,121.624895,4,,,,4,,open,false,,,,Hualien,Taiwan,人面蜘蛛,Nephila pilipes,人面蜘蛛,68390,Nephilidae,Nephila,Nephila pilipes
130908830,ea069314-0d31-4f68-a36d-316600b3ec27,2022-08-15 13:18:51+08:00,2022-08-15,2022-08-15 05:18:51 +0000,Taipei,1544878,naturalist9238,何小花,needs_id,CC-BY,https://www.inaturalist.org/observations/130908830,https://inaturalist-open-data.s3.amazonaws.com/photos/222697476/medium.jpg,,"","",1,0,false,3,"Hualien, TW-TA, TW",24.1573945,121.6245883333,4,,,,4,,,false,,,,Hualien,Taiwan,Orbweavers,Araneidae,金蛛科,47535,Araneidae,,
135377410,28aa2b55-fec7-4ba8-8b22-ab1b94c8e44a,2022/08/24 10:48,2022-08-24,2022-08-24 02:48:00 +0000,Taipei,131035,moogoo,Moogoo Lee,needs_id,CC-BY,https://www.inaturalist.org/observations/135377410,https://inaturalist-open-data.s3.amazonaws.com/photos/230883692/medium.jpeg,,"",,4,1,false,,台灣花蓮縣,24.158416768,121.6218287054,8,,,,8,,,false,,,,Hualien,Taiwan,Jumping Spiders,Salticidae,蠅虎科,48139,Salticidae,,
154789047,93172dfa-49cf-4d09-ab74-072a83eb2a8f,2023-04-14 05:36:41,2023-04-14,2023-04-13 21:36:41 +0000,Taipei,2627789,tsou,"",needs_id,CC-BY-NC,https://www.inaturalist.org/observations/154789047,https://inaturalist-open-data.s3.amazonaws.com/photos/267492229/medium.jpeg,,"",,0,0,false,2,972台灣花蓮縣秀林鄉太魯閣國家公園環境教育中心,24.1580788889,121.6231841667,,,,,,,,false,gps,gps,,Hualien,Taiwan,アシダカグモ,Heteropoda venatoria,白額高腳蛛,48765,Sparassidae,Heteropoda,Heteropoda venatoria
156009236,169a19ce-5a9d-47db-853a-0040181e7976,2023-04-22 13:53:01+08:00,2023-04-22,2023-04-22 05:53:01 +0000,Taipei,2624418,woowei,吳宜軒,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/156009236,https://inaturalist-open-data.s3.amazonaws.com/photos/269730044/medium.jpg,,"","",0,0,false,3,"太魯閣國家公園, 秀林鄉, TW",24.1593695,121.621155,9,,,,9,,,false,,,,Hualien,Taiwan,"",Epeus,艾普蛛屬,334276,Salticidae,Epeus,
156009294,d7d1c44c-9b29-466b-97a4-e2493a06180f,2023-04-22 13:51:39+08:00,2023-04-22,2023-04-22 05:51:39 +0000,Taipei,2624418,woowei,吳宜軒,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/156009294,https://inaturalist-open-data.s3.amazonaws.com/photos/269730102/medium.jpg,,"","",0,0,false,3,"太魯閣國家公園, 秀林鄉, TW",24.1593945,121.621155,8,,,,8,,,false,,,,Hualien,Taiwan,"",Evarcha,獵蛛屬,61762,Salticidae,Evarcha,
169538183,72fc0d33-f53f-4f78-9d13-ce6eaac1051b,2023-06-25 13:52:26+08:00,2023-06-25,2023-06-25 05:52:26 +0000,Taipei,4627115,timmyyyyyyy0711,,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/169538183,https://inaturalist-open-data.s3.amazonaws.com/photos/293942149/medium.jpg,,"","",0,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1584861667,121.6224366667,39,,,,39,,,false,,,,Hualien,Taiwan,"",Gea,佳蛛屬,172518,Araneidae,Gea,
192202710,becd00b4-85dc-49c9-b718-ee7ba7a1c124,2023-11-26 19:11:02,2023-11-26,2023-11-26 11:11:02 +0000,Taipei,7103777,yuhuichen18,"",research,CC-BY-NC,https://www.inaturalist.org/observations/192202710,https://inaturalist-open-data.s3.amazonaws.com/photos/337359134/medium.jpeg,,"",,1,0,false,2,972台灣花蓮縣秀林鄉太魯閣遊客中心(太管處),24.1594583326,121.6217083856,48,,,,48,,,false,gps,gps,,Hualien,Taiwan,方格銀鱗蛛,Leucauge tessellata,方格銀腹蛛,508569,Tetragnathidae,Leucauge,Leucauge tessellata
192437513,28345fa9-08fe-4ee5-9785-81fe1dae72b6,2023/11/26 17:54,2023-11-26,2023-11-26 09:54:00 +0000,Taipei,7197012,tlyang,楊小毛,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/192437513,https://inaturalist-open-data.s3.amazonaws.com/photos/337816564/medium.jpeg,,"",,0,0,false,,972台灣花蓮縣秀林鄉,24.1590349444,121.6224433056,,,,,,,,false,,,,Hualien,Taiwan,蜘蛛目,Araneae,蜘蛛目,47118,,,
192437526,00b6251e-f164-44a5-a2f0-83185fdcfc58,2023/11/26 18:38,2023-11-26,2023-11-26 10:38:00 +0000,Taipei,7197012,tlyang,楊小毛,research,CC-BY-NC,https://www.inaturalist.org/observations/192437526,https://inaturalist-open-data.s3.amazonaws.com/photos/337816637/medium.jpeg,,"","",1,0,false,,972台灣花蓮縣秀林鄉,24.1595116667,121.621225,,,,,,,,false,,,,Hualien,Taiwan,白額高腳蛛,Heteropoda venatoria,白額高腳蛛,48765,Sparassidae,Heteropoda,Heteropoda venatoria
192437533,ab6e0e83-28a2-411e-b6e4-52a41c7e3165,2023/11/26 19:14,2023-11-26,2023-11-26 11:14:00 +0000,Taipei,7197012,tlyang,楊小毛,research,CC-BY-NC,https://www.inaturalist.org/observations/192437533,https://inaturalist-open-data.s3.amazonaws.com/photos/337816662/medium.jpeg,,"",,1,0,false,,972台灣花蓮縣秀林鄉,24.1595916667,121.6213583333,,,,,,,,false,,,,Hualien,Taiwan,方格銀鱗蛛,Leucauge tessellata,方格銀腹蛛,508569,Tetragnathidae,Leucauge,Leucauge tessellata
192437534,8eaf6d18-333c-473e-9e76-69a0e8322d1b,2023/11/26 19:17,2023-11-26,2023-11-26 11:17:00 +0000,Taipei,7197012,tlyang,楊小毛,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/192437534,https://inaturalist-open-data.s3.amazonaws.com/photos/337816673/medium.jpeg,,"",,0,0,false,,972台灣花蓮縣秀林鄉,24.1595716667,121.6214283333,,,,,,,,false,,,,Hualien,Taiwan,五紋鬼蛛,Aoaraneus pentagrammicus,五紋鬼蛛,1341458,Araneidae,Aoaraneus,Aoaraneus pentagrammicus
192437539,f10892a6-f29c-4a05-baaa-463080e548a6,2023/11/26 19:36,2023-11-26,2023-11-26 11:36:00 +0000,Taipei,7197012,tlyang,楊小毛,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/192437539,https://inaturalist-open-data.s3.amazonaws.com/photos/337816689/medium.jpeg,,"",,0,0,false,,972台灣花蓮縣秀林鄉,24.1597666667,121.6215616667,,,,,,,,false,,,,Hualien,Taiwan,高腳蛛屬,Heteropoda,高腳蛛屬,48766,Sparassidae,Heteropoda,
201760790,d55c88ec-6da9-413e-b263-74d7a59fc063,2024-03-09 14:58:48,2024-03-09,2024-03-09 06:58:48 +0000,Taipei,7304454,naturalist79551,農夫建湘,needs_id,,https://www.inaturalist.org/observations/201760790,https://static.inaturalist.org/photos/356211602/medium.jpeg,,"",,0,0,false,2,972台灣花蓮縣秀林鄉293,24.1581849722,121.6242809722,,,,,,,,false,gps,gps,,Hualien,Taiwan,Argyrodinae,Argyrodinae,,1472110,Theridiidae,,
201762175,4a85207d-2611-499c-a0b4-814543781d73,2024-03-09 15:24:47,2024-03-09,2024-03-09 07:24:47 +0000,Taipei,7304454,naturalist79551,農夫建湘,needs_id,,https://www.inaturalist.org/observations/201762175,https://static.inaturalist.org/photos/356214655/medium.jpeg,,"",,1,0,false,2,972台灣花蓮縣秀林鄉太魯閣國家公園環境教育中心,24.1582919722,121.623388,,,,,,,,false,,,,Hualien,Taiwan,蟻蛛族,Myrmarachnini,蟻蛛族,712059,Salticidae,,
203437716,8afcb118-f611-4528-8306-5e1f12ff7e0f,2024-03-22 13:26:32+08:00,2024-03-22,2024-03-22 05:26:32 +0000,Taipei,7890632,mangothecrocs,曾文宣,research,,https://www.inaturalist.org/observations/203437716,https://static.inaturalist.org/photos/359439094/medium.jpg,,"","",1,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1579528333,121.6239033333,5,,,,5,,,false,,,,Hualien,Taiwan,梭德氏棘蛛,Gasteracantha sauteri,梭德氏棘蛛,503706,Araneidae,Gasteracantha,Gasteracantha sauteri
203438055,858af779-69ea-43cb-8832-8dadc442ef92,2024-03-22 13:25:12,2024-03-22,2024-03-22 05:25:12 +0000,Taipei,7867298,naturalist81346,楊蕙君,needs_id,,https://www.inaturalist.org/observations/203438055,https://static.inaturalist.org/photos/359439594/medium.jpeg,,"",,0,0,false,2,972台灣花蓮縣秀林鄉太魯閣國家公園環境教育中心,24.1578149774,121.6232858598,7,,,,7,,,false,gps,gps,,Hualien,Taiwan,膝形蟱蛛 (膝形渦蛛),Zosis geniculata,膝形蟱蛛 (膝形渦蛛),172199,Uloboridae,Zosis,Zosis geniculata
203438058,2abcab7c-3a09-4ff0-8cd5-31f851f6926e,2024-03-22 13:32:29+08:00,2024-03-22,2024-03-22 05:32:29 +0000,Taipei,7896211,ingrid1086,Ingrid hsueh,needs_id,,https://www.inaturalist.org/observations/203438058,https://static.inaturalist.org/photos/359439590/medium.jpg,,"","",0,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1576562184,121.6232836305,4,,,,4,,,false,,,,Hualien,Taiwan,"",Pardosa,豹蛛屬,47415,Lycosidae,Pardosa,
203438746,fbcd3579-51de-4450-a09f-120a398d5427,2024-03-22 13:45:36+08:00,2024-03-22,2024-03-22 05:45:36 +0000,Taipei,7635339,naturalist77955,李益眾,needs_id,,https://www.inaturalist.org/observations/203438746,https://static.inaturalist.org/photos/359440803/medium.jpg,,"","",2,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1579721667,121.6238866667,4,,,,4,,,false,,,,Hualien,Taiwan,Long-jawed Orbweavers,Tetragnathidae,長腳蛛科,47551,Tetragnathidae,,
203439134,05a68d8b-4efd-445b-97c9-a0fa48175af3,2024-03-22 13:53:49+08:00,2024-03-22,2024-03-22 05:53:49 +0000,Taipei,1866500,yizhangwang,Yi-Zhang Wang,needs_id,,https://www.inaturalist.org/observations/203439134,https://static.inaturalist.org/photos/359441573/medium.jpg,,"","",1,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1578325696,121.6232722144,4,,,,4,,,false,,,,Hualien,Taiwan,銀腹蛛屬,Leucauge,銀腹蛛屬,53466,Tetragnathidae,Leucauge,
203439224,f7f65e90-c91c-49cb-98d9-3d9a9c8af035,2024-03-22 13:52:07+08:00,2024-03-22,2024-03-22 05:52:07 +0000,Taipei,7635339,naturalist77955,李益眾,research,,https://www.inaturalist.org/observations/203439224,https://static.inaturalist.org/photos/359441618/medium.jpg,,"","",1,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1578333333,121.6239916667,4,,,,4,,open,false,,,,Hualien,Taiwan,Giant Golden Orbweaver,Nephila pilipes,人面蜘蛛,68390,Nephilidae,Nephila,Nephila pilipes
203439574,ac699943-ce25-4bbe-b636-d35e65350cdc,2024-03-22 13:59:26+08:00,2024-03-22,2024-03-22 05:59:26 +0000,Taipei,2626445,orionhuang,,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/203439574,https://inaturalist-open-data.s3.amazonaws.com/photos/359442096/medium.jpg,,"","",0,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.157869155,121.6240048654,3,,,,3,,,false,,,,Hualien,Taiwan,艷蛛屬,Epocilla,艷蛛屬,209654,Salticidae,Epocilla,
203439799,b450da4f-d7b0-46b8-98fe-7444ac30a737,2024-03-22 14:01:33+08:00,2024-03-22,2024-03-22 06:01:33 +0000,Taipei,7896034,maoyao,,research,CC-BY-NC,https://www.inaturalist.org/observations/203439799,https://inaturalist-open-data.s3.amazonaws.com/photos/359442524/medium.jpg,,"","",1,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1578028333,121.6233283333,4,,,,4,,,false,,,,Hualien,Taiwan,肩斑銀腹蛛,Leucauge blanda,肩斑銀腹蛛,360597,Tetragnathidae,Leucauge,Leucauge blanda
203439905,e87db2fe-ee99-4b77-8007-0fe4a8cb4c9f,2024-03-22 13:27:23,2024-03-22,2024-03-22 05:27:23 +0000,Taipei,7197012,tlyang,楊小毛,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/203439905,https://inaturalist-open-data.s3.amazonaws.com/photos/359442692/medium.jpeg,,"",,2,0,false,2,972台灣花蓮縣秀林鄉293,24.1579237997,121.6239127,,,,,,,,false,gps,gps,,Hualien,Taiwan,銀腹蛛屬,Leucauge,銀腹蛛屬,53466,Tetragnathidae,Leucauge,
203440212,27927336-124b-4297-8e6c-63e12b5b4182,2024-03-22 14:01:30+08:00,2024-03-22,2024-03-22 06:01:30 +0000,Taipei,7890632,mangothecrocs,曾文宣,needs_id,,https://www.inaturalist.org/observations/203440212,https://static.inaturalist.org/photos/359447594/medium.jpg,,"","",0,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1578721667,121.6240616667,5,,,,5,,,false,,,,Hualien,Taiwan,"",Epocilla blairei,布氏艷蛛,209653,Salticidae,Epocilla,Epocilla blairei
203440980,c7fb3da4-2600-4c4c-8122-f2e9971dc581,2024-03-22 13:51:45,2024-03-22,2024-03-22 05:51:45 +0000,Taipei,7103777,yuhuichen18,"",research,CC-BY-NC,https://www.inaturalist.org/observations/203440980,https://inaturalist-open-data.s3.amazonaws.com/photos/359445045/medium.jpeg,,"",,1,0,false,2,972台灣花蓮縣秀林鄉太魯閣國家公園環境教育中心,24.1584185427,121.6232348979,45,,,,45,,open,false,gps,gps,,Hualien,Taiwan,人面蜘蛛,Nephila pilipes,人面蜘蛛,68390,Nephilidae,Nephila,Nephila pilipes
203441018,2e7c4745-882e-4de0-83aa-a7c8854577e3,2024-03-22 13:41:13,2024-03-22,2024-03-22 05:41:13 +0000,Taipei,7103777,yuhuichen18,"",needs_id,CC-BY-NC,https://www.inaturalist.org/observations/203441018,https://inaturalist-open-data.s3.amazonaws.com/photos/359445147/medium.jpeg,,"",,0,0,false,2,972台灣花蓮縣秀林鄉太魯閣國家公園環境教育中心,24.1583561367,121.6232053936,87,,,,87,,,false,,,,Hualien,Taiwan,梭德氏棘蛛,Gasteracantha sauteri,梭德氏棘蛛,503706,Araneidae,Gasteracantha,Gasteracantha sauteri
203441174,036b88df-6de0-4dc8-858d-0d76cd4be5f4,2024-03-22 13:29:10,2024-03-22,2024-03-22 05:29:10 +0000,Taipei,7103777,yuhuichen18,"",needs_id,CC-BY-NC,https://www.inaturalist.org/observations/203441174,https://inaturalist-open-data.s3.amazonaws.com/photos/359445408/medium.jpeg,,"",,0,0,false,2,972台灣花蓮縣秀林鄉太魯閣國家公園環境教育中心,24.1584653472,121.6229794174,132,,,,132,,,false,gps,gps,,Hualien,Taiwan,銀腹蛛屬,Leucauge blanda,肩斑銀腹蛛,360597,Tetragnathidae,Leucauge,Leucauge blanda
203441203,559fbc34-7132-43f9-92fb-933ffd30edd5,2024-03-22 13:27:25,2024-03-22,2024-03-22 05:27:25 +0000,Taipei,7103777,yuhuichen18,"",needs_id,CC-BY-NC,https://www.inaturalist.org/observations/203441203,https://inaturalist-open-data.s3.amazonaws.com/photos/359445489/medium.jpeg,,"",,1,0,false,2,972台灣花蓮縣秀林鄉291,24.1584469925,121.6229499131,98,,,,98,,,false,,,,Hualien,Taiwan,銀腹蛛屬,Leucauge,銀腹蛛屬,53466,Tetragnathidae,Leucauge,
203441246,12191812-19fa-41d2-afa4-36f227e58add,2024-03-22 13:36:00,2024-03-22,2024-03-22 05:36:00 +0000,Taipei,7103777,yuhuichen18,"",needs_id,CC-BY-NC,https://www.inaturalist.org/observations/203441246,https://inaturalist-open-data.s3.amazonaws.com/photos/359445580/medium.jpeg,,"",,0,0,false,2,972台灣花蓮縣秀林鄉太魯閣國家公園環境教育中心,24.1583922343,121.6232395917,27,,,,27,,,false,,,,Hualien,Taiwan,溝渠豹蛛,Pardosa laura,溝渠豹蛛,360644,Lycosidae,Pardosa,Pardosa laura
207716809,bd62ccd2-e94c-46af-b354-5edcc35f70b0,2024-04-17 13:32:30,2024-04-17,2024-04-17 05:32:30 +0000,Taipei,2627789,tsou,"",research,CC-BY-NC,https://www.inaturalist.org/observations/207716809,https://inaturalist-open-data.s3.amazonaws.com/photos/367448314/medium.jpeg,,"",,1,0,false,2,972台灣花蓮縣秀林鄉291,24.1582852778,121.6223133333,,,,,,,,false,gps,gps,,Hualien,Taiwan,長圓金蛛 (好勝金蛛),Argiope aemula,長圓金蛛,349000,Araneidae,Argiope,Argiope aemula
208199085,7d44d413-249c-44ec-aad7-500f71a8bd0c,2024-04-20 09:51:31,2024-04-20,2024-04-20 01:51:31 +0000,Taipei,2627789,tsou,"",needs_id,CC-BY-NC,https://www.inaturalist.org/observations/208199085,https://inaturalist-open-data.s3.amazonaws.com/photos/368346093/medium.jpeg,,"",,0,0,false,2,972台灣花蓮縣秀林鄉富世村,24.1580583333,121.6236697222,,,,,,,,false,gps,gps,,Hualien,Taiwan,斜紋貓蛛,Oxyopes sertatus,斜紋貓蛛,319130,Oxyopidae,Oxyopes,Oxyopes sertatus
209078844,bb1728c0-e380-4eae-8d19-32837153d613,2024-04-23 08:49:15+08:00,2024-04-23,2024-04-23 00:49:15 +0000,Taipei,5364733,sandra8828,,research,CC-BY-NC,https://www.inaturalist.org/observations/209078844,https://inaturalist-open-data.s3.amazonaws.com/photos/369981332/medium.jpg,,"","",1,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1583672402,121.6223362347,4,,,,4,,,false,,,,Hualien,Taiwan,長圓金蛛 (好勝金蛛),Argiope aemula,長圓金蛛,349000,Araneidae,Argiope,Argiope aemula
209078873,ac83056f-62a1-4add-a7a7-976e8ad35a2a,2024-04-23 08:45:32+08:00,2024-04-23,2024-04-23 00:45:32 +0000,Taipei,5364733,sandra8828,,research,CC-BY-NC,https://www.inaturalist.org/observations/209078873,https://inaturalist-open-data.s3.amazonaws.com/photos/369981404/medium.jpg,,"","",2,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.1583721667,121.622345,4,,,,4,,,false,,,,Hualien,Taiwan,長圓金蛛 (好勝金蛛),Argiope aemula,長圓金蛛,349000,Araneidae,Argiope,Argiope aemula
210540382,50e3acc6-d153-405f-ad85-f1b1370b30fa,2024-04-26 07:28:48+08:00,2024-04-26,2024-04-25 23:28:48 +0000,Taipei,5364733,sandra8828,,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/210540382,https://inaturalist-open-data.s3.amazonaws.com/photos/372383115/medium.jpg,,"","",0,0,false,3,"太魯閣國家公園, 秀林鄉, HUA, TW",24.158125,121.6219116667,4,,,,4,,,false,,,,Hualien,Taiwan,蜘蛛卵,Araneae,蜘蛛目,47118,,,
