ID,family,genus,species,sex,count,year,month,day,city,township,site,country,lat,long,collector,time,COI
Ar12966,Clubionidae,Bucliona,jucunda,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
Ar12967,Araneidae,Eriovixia,sakiedaorum,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12968,Theridiidae,Parasteatoda,kentingensis,j,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12969,Theridiidae,Anelosimus,cf. exiguus,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12970,Theridiidae,Anelosimus,chonganicus,j,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12971,Theridiidae,Nipponidion,cf. okinawense,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12972,Cheiracanthiidae,Cheiracanthium,taiwanicum,m,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,
Ar12973,Theridiidae,Platnickina,maculata,f,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar12974,Uloboridae,Miagrammopes,orientalis,f,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar12975,Araneidae,Argiope,aetheroides,m,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar12976,Salticidae,Yaginumaella,,f,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar12977,Theridiidae,Nipponidion,cf. okinawense,f,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,
Ar12978,Salticidae,Carrhotus,sannio,m,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,
Ar12979,Cheiracanthiidae,Cheiracanthium,insigne,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,林佩樺,day,
Ar12980,Cheiracanthiidae,Cheiracanthium,insigne,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,林佩樺,day,
Ar12981,Theridiidae,Dipoena,,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,林佩樺,night,v
Ar12982,Theridiidae,Platnickina,maculata,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,林佩樺,night,
Ar12983,Theridiidae,Anelosimus,chonganicus,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,林佩樺,night,v
Ar12984,Theridiidae,Parasteatoda,kentingensis,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,林佩樺,night,v
Ar12985,Oxyopidae,Oxyopes,macilentus,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,
Ar12986,Theridiidae,Platnickina,maculata,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,
Ar12987,Tetragnathidae,Leucauge,blanda,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,
Ar12988,Pholcidae,Pholcus,spilis,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,v
Ar12989,Theridiidae,Famakytta,flavescens,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,v
Ar12990,Theridiidae,Parasteatoda,kentingensis,f,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,
Ar12991,Uloboridae,Uloborus,formosanus,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,v
Ar12992,Thomisidae,Mastira,tegularis,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,v
Ar12993,Thomisidae,Mastira,tegularis,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,v
Ar12994,Salticidae,Yaginumaella,,f,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,v
Ar12995,Sparassidae,Gnathopalystes,taiwanensis,f,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12996,Pholcidae,,,j,1,2025,10,29,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,
Ar12997,Liocranidae,,,m,1,2025,10,29,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,v
Ar12998,Salticidae,Carrhotus,sannio,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,v
Ar12999,Salticidae,Carrhotus,viduus,j,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,v
Ar13000,Lycosidae,Pardosa,laura,f,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,
Ar13001,Clubionidae,Bucliona,jucunda,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,
Ar13002,Theridiidae,Anelosimus,chonganicus,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,
Ar13003,Araneidae,Gasteracantha,kuhli,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,
Ar13004,Theridiidae,Anelosimus,taiwanicus,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,v
Ar13005,Theridiidae,Platnickina,maculata,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,v
Ar13006,Theridiidae,Famakytta,flavescens,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,v
Ar13007,Thomisidae,Mastira,tegularis,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,v
Ar13008,Thomisidae,Mastira,tegularis,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,day,v
Ar13009,Theridiidae,Parasteatoda,kentingensis,f,1,2025,10,29,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
Ar13010,Salticidae,Chalcovietnamicus,,m,1,2025,10,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13011,Salticidae,Myrmarachne,robusta,f,1,2025,10,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13012,Salticidae,Myrmarachne,robusta,f,1,2025,10,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13013,Salticidae,Rhene,atrata,f,1,2025,10,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13014,Salticidae,Chinophrys,,f,1,2025,10,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13015,Thomisidae,Tmarus,taiwanus,f,1,2025,11,13,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,陳顧淋,day,v
Ar13016,Tetragnathidae,Tetragnatha,ceylonica,f,1,2025,11,13,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,陳顧淋,day,v
Ar13017,Salticidae,Carrhotus,sannio,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13018,Salticidae,Anarrhotus,fossulatus,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13019,Salticidae,Carrhotus,sannio,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13020,Pholcidae,Uthina,luzonica,m,1,2025,11,19,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,黃文俊,day,v
Ar13021,Oecobiidae,Oecobius,concinnus,f,1,2025,11,19,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,黃文俊,day,v
Ar13022,Oecobiidae,Oecobius,concinnus,f,1,2025,11,19,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,黃文俊,day,v
Ar13023,Oecobiidae,Oecobius,concinnus,f,1,2025,11,19,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,黃文俊,day,v
Ar13024,Pholcidae,Uthina,luzonica,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13025,Araneidae,Eriovixia,excelsa,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,
Ar13026,Selenopidae,Siamspinops,formosensis,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13027,Theridiidae,Famakytta,flavescens,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13028,Theridiidae,Parasteatoda,,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,
Ar13029,Tetragnathidae,Mesida,cf. gemmea,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13030,Clubionidae,Bucliona,jucunda,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13031,Theridiidae,Theridion,,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13032,Phrurolithidae,Grandilithus,lynx,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,
Ar13033,Theridiidae,Anelosimus,taiwanicus,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13034,Theridiidae,Anelosimus,chonganicus,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,
Ar13035,Theridiidae,Platnickina,maculata,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13036,Theridiidae,Platnickina,maculata,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,黃文俊,night,v
Ar13037,Clubionidae,Bucliona,jucunda,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,
Ar13038,Tetragnathidae,Leucauge,tessellata,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13039,Salticidae,Carrhotus,sannio,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13040,Salticidae,Chalcovietnamicus,,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13041,Salticidae,Chalcovietnamicus,,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar13042,Salticidae,Carrhotus,sannio,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,陳顧淋,day,v
Ar13043,Araneidae,Cyclosa,omonaga,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,陳顧淋,day,v
Ar13044,Theridiidae,,,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar13045,Pholcidae,Uthina,luzonica,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,管珮均,night,v
Ar13046,Pholcidae,Uthina,luzonica,m,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,林佩樺,night,v
Ar13047,Thomisidae,Mastira,tegularis,f,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,林佩樺,night,v
Ar13048,Tetragnathidae,Dolichognatha,,j,1,2025,11,18,花蓮縣,秀林鄉,臺地步道-南,Taiwan,24.157994,121.621373,林佩樺,night,v
Ar13049,Thomisidae,Mastira,tegularis,m,1,2025,11,19,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,管珮均,day,v
Ar13050,Gnaphosidae,Hitobia,,j,1,2025,11,19,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,管珮均,day,v
Ar13051,Theridiidae,Parasteatoda,kentingensis,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,林佩樺,night,v
Ar13052,Tetragnathidae,Mesida,,jf,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,林佩樺,night,
Ar13053,Thomisidae,Tmarus,taiwanus,m,1,2025,11,20,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,管珮均,day,v
Ar13054,Theridiidae,Famakytta,flavescens,m,1,2025,11,20,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,管珮均,day,v
Ar13055,Theridiidae,Famakytta,flavescens,f,1,2025,11,20,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,管珮均,day,v
Ar13056,Oxyopidae,Oxyopes,hasta,f,1,2025,11,20,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,管珮均,day,
Ar13057,Oxyopidae,Oxyopes,hasta,m,1,2025,11,20,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,林佩樺,day,
Ar13058,Thomisidae,Mastira,tegularis,m,1,2025,11,20,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,林佩樺,day,v
Ar13059,Theridiidae,Parasteatoda,kentingensis,m,1,2025,11,20,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,林佩樺,day,v
Ar13060,Theridiidae,Platnickina,maculata,m,1,2025,11,20,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,林佩樺,day,
Ar13061,Oxyopidae,Oxyopes,hasta,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar13062,Salticidae,Carrhotus,sannio,f,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar13063,Tetragnathidae,Mesida,cf. gemmea,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar13064,Theridiidae,Anelosimus,chonganicus,f,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar13065,Theridiidae,Anelosimus,taiwanicus,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar13066,Linyphiidae,Neriene,,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar13067,Uloboridae,Uloborus,formosanus,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar13068,Araneidae,Cyclosa,omonaga,m,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar13069,Pholcidae,Leptopholcus,huongson,jm,1,2025,11,19,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar13070,Thomisidae,Mastira,tegularis,m,1,2025,11,19,花蓮縣,秀林鄉,太魯閣遊客中心,Taiwan,24.157934,121.62324,林佩樺,day,v
